"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Christian McCaffrey","RB","SF","24.4","21","20.4","45.2","12.8","","","","","","","","","","","","","","24.8","123.8"
"2","Josh Allen","QB","BUF","12","23.7","22.3","36.5","28.8","","","","","","","","","","","","","","24.7","123.3"
"3","Tyreek Hill","WR","MIA","39","12.5","26.2","8.7","28.1","","","","","","","","","","","","","","22.9","114.5"
"4","Jalen Hurts","QB","PHI","12.5","26.2","21.9","24.2","28.3","","","","","","","","","","","","","","22.6","113.1"
"5","Justin Fields","QB","CHI","15.5","16.7","11.7","28.9","33","","","","","","","","","","","","","","21.2","105.8"
"6","Kirk Cousins","QB","MIN","17.5","28.6","26.7","11.6","19.9","","","","","","","","","","","","","","20.8","104.1"
"7","Tua Tagovailoa","QB","MIA","28.1","13.3","28.4","15","18.9","","","","","","","","","","","","","","20.7","103.7"
"8","Patrick Mahomes II","QB","KC","20.5","22.2","25.7","15.2","19.2","","","","","","","","","","","","","","20.6","102.9"
"9","Stefon Diggs","WR","BUF","21.2","10.1","15.1","33","20.1","","","","","","","","","","","","","","19.9","99.5"
"10","Brock Purdy","QB","SF","16.8","14.7","20.3","21.3","26.1","","","","","","","","","","","","","","19.8","99.2"
"11","Russell Wilson","QB","DEN","15.2","26.9","15.2","22.2","18.7","","","","","","","","","","","","","","19.7","98.3"
"12","Raheem Mostert","RB","MIA","12","25.2","41.7","4","14.8","","","","","","","","","","","","","","19.5","97.7"
"13","Lamar Jackson","QB","BAL","7.6","22.9","28.2","28.1","10.9","","","","","","","","","","","","","","19.5","97.7"
"14","De'Von Achane","RB","MIA","-","1.4","49.3","25.5","21","","","","","","","","","","","","","","24.3","97.2"
"15","Jared Goff","QB","DET","14","23.9","19","12.4","27.4","","","","","","","","","","","","","","19.4","96.8"
"16","Justin Herbert","QB","LAC","20.9","22.2","29.3","24.4","BYE","","","","","","","","","","","","","","24.2","96.7"
"17","DJ Moore","WR","CHI","3.5","13.4","11.6","23.1","45","","","","","","","","","","","","","","19.3","96.6"
"18","Jordan Love","QB","GB","23","20.3","25.3","19.6","8","","","","","","","","","","","","","","19.2","96.2"
"19","Puka Nacua","WR","LAR","16.9","22.6","9.7","26.8","16.6","","","","","","","","","","","","","","18.5","92.6"
"20","Justin Jefferson","WR","MIN","19.5","19.4","24.4","23.5","4.3","","","","","","","","","","","","","","18.2","91.1"
"21","C.J. Stroud","QB","HOU","10.2","21.5","20.6","21.8","14.2","","","","","","","","","","","","","","17.6","88.2"
"22","Sam Howell","QB","WAS","16.2","21.3","4.6","19.6","26.4","","","","","","","","","","","","","","17.6","88.1"
"23","Ja'Marr Chase","WR","CIN","6.6","5.6","20.1","10.8","44.7","","","","","","","","","","","","","","17.6","87.8"
"24","Keenan Allen","WR","LAC","11.2","27.1","36.5","10.7","BYE","","","","","","","","","","","","","","21.4","85.5"
"25","A.J. Brown","WR","PHI","11.4","4.9","17.6","34","15.7","","","","","","","","","","","","","","16.7","83.6"
"26","Travis Etienne Jr.","RB","JAC","18.9","5.2","15.8","8.7","34.4","","","","","","","","","","","","","","16.6","83"
"27","Kyren Williams","RB","LAR","17.4","25","7.5","26.2","6.7","","","","","","","","","","","","","","16.6","82.8"
"28","Zack Moss","RB","IND","-","18.7","21.5","9","32.5","","","","","","","","","","","","","","20.4","81.7"
